Место,№,Команда,Зачёт,Итого,Итого рейтинг,1 тур ,1 тур рейтинг,2 тур ,2 тур рейтинг,3 тур ,3 тур рейтинг,1 день,4 тур ,4 тур рейтинг,,5 тур ,5 тур рейтинг,,6 тур ,6 тур рейтинг,
59.,14,Чайный пакетик ,Школьный,9,147,2,37,2,26,4,64,8,1,20,9,0,0,9,0,0,9
40.,56,Братец Маракуйя,Студенческий,9,122,1,8,3,33,5,81,9,0,0,9,0,0,9,0,0,9
60.,17,Водичка,Школьный,9,160,1,11,3,48,3,48,7,1,26,8,0,0,8,1,27,9
39.,44,Владимир Ильич ХЗ,Студенческий,9,154,3,56,2,26,2,23,7,1,19,8,0,0,8,1,30,9
61.,25,гиперболическое седло,Школьный,8,137,2,31,3,49,3,57,8,0,0,8,0,0,8,0,0,8
62.,8,Теория,Школьный,8,121,3,47,2,9,2,43,7,1,22,8,0,0,8,0,0,8
63.,19,Совухи,Школьный,7,102,1,16,2,9,3,55,6,1,22,7,0,0,7,0,0,7
64.,22,Отряд Дамблдора,Школьный,7,103,2,32,3,35,1,16,6,1,20,7,0,0,7,0,0,7
65.,20,МаксиУм,Школьный,6,91,0,0,2,9,4,82,6,0,0,6,0,0,6,0,0,6
66.,28,Чеширские коты,Школьный,6,92,2,32,1,4,3,56,6,0,0,6,0,0,6,0,0,6
41.,50,4на2,Студенческий,6,76,1,22,2,22,3,32,6,,,6,,,6,,,6
67.,26,Rolling Stones,Школьный,4,51,1,20,2,9,1,22,4,0,0,4,0,0,4,0,0,4
68.,24,Легенда,Школьный,3,32,,,,,,,0,,,,,,,,,
